発電所コード,エリア,発電所名,ユニット名,発電方式・燃種,対象日,00:30[kWh],01:00[kWh],01:30[kWh],02:00[kWh],02:30[kWh],03:00[kWh],03:30[kWh],04:00[kWh],04:30[kWh],05:00[kWh],05:30[kWh],06:00[kWh],06:30[kWh],07:00[kWh],07:30[kWh],08:00[kWh],08:30[kWh],09:00[kWh],09:30[kWh],10:00[kWh],10:30[kWh],11:00[kWh],11:30[kWh],12:00[kWh],12:30[kWh],13:00[kWh],13:30[kWh],14:00[kWh],14:30[kWh],15:00[kWh],15:30[kWh],16:00[kWh],16:30[kWh],17:00[kWh],17:30[kWh],18:00[kWh],18:30[kWh],19:00[kWh],19:30[kWh],20:00[kWh],20:30[kWh],21:00[kWh],21:30[kWh],22:00[kWh],22:30[kWh],23:00[kWh],23:30[kWh],24:00[kWh],日量[kWh],更新日時
2K210,東北,仙台パワーステーション,単独,火力（石炭）,2025-07-23,49000.0,50000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,50000.0,49000.0,49000.0,50000.0,49000.0,50000.0,49000.0,49000.0,50000.0,49000.0,47000.0,40000.0,35000.0,35000.0,33000.0,44000.0,50000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,50000.0,49000.0,49000.0,50000.0,49000.0,49000.0,50000.0,49000.0,50000.0,49000.0,50000.0,49000.0,49000.0,49000.0,50000.0,49000.0,2304000.0,2025/07/24 15:30:13
606622S316,東北,勿来発電所,勿来7号機,火力（石炭）,2025-07-23,60000.0,61000.0,61000.0,60000.0,61000.0,60000.0,61000.0,60000.0,61000.0,61000.0,60000.0,61000.0,76000.0,90000.0,90000.0,90000.0,91000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,91000.0,90000.0,90000.0,90000.0,90000.0,105000.0,118000.0,119000.0,119000.0,118000.0,119000.0,119000.0,104000.0,90000.0,90000.0,90000.0,91000.0,75000.0,60000.0,61000.0,4083000.0,2025/07/24 15:30:13
606622S317,東北,勿来発電所,勿来8号機（東北系）,火力（石炭）,2025-07-23,285457.0,285376.0,285489.0,285392.0,285443.0,285443.0,285457.0,285397.0,285258.0,285546.0,281863.0,260884.0,242308.0,229823.0,211279.0,188044.0,187270.0,187346.0,187390.0,187317.0,187436.0,187254.0,187372.0,187297.0,187611.0,187308.0,196152.0,247261.0,284566.0,285432.0,285311.0,285385.0,285260.0,285316.0,285652.0,285511.0,285248.0,285380.0,285404.0,285445.0,285345.0,285453.0,285408.0,285431.0,285158.0,285475.0,285277.0,285530.0,12292460.0,2025/07/24 15:30:13
606622S318,東北,勿来発電所,勿来9号機（東北系）,火力（石炭）,2025-07-23,185586.0,185566.0,185574.0,185429.0,185599.0,185538.0,185527.0,185421.0,185607.0,185533.0,185357.0,185581.0,185534.0,185441.0,185543.0,185469.0,221324.0,233763.0,233883.0,233763.0,234000.0,233854.0,233693.0,234014.0,233995.0,233730.0,233850.0,233971.0,233866.0,233964.0,234019.0,233899.0,233667.0,233877.0,234161.0,233734.0,233991.0,233863.0,233653.0,223282.0,185309.0,185730.0,185707.0,185538.0,185535.0,185340.0,185743.0,185426.0,10042449.0,2025/07/24 15:30:13
2U308,東北,東北電力原町火力発電所１号機,１号機,火力（石炭）,2025-07-23,446739.0,431273.0,460423.0,430273.0,460350.0,444246.0,431745.0,458428.0,430223.0,460528.0,373914.0,388149.0,373791.0,372789.0,369290.0,353160.0,354537.0,282982.0,281641.0,281958.0,314010.0,387655.0,360803.0,387555.0,413062.0,436117.0,458445.0,454122.0,486715.0,469450.0,471000.0,470193.0,453379.0,485372.0,453171.0,488167.0,470021.0,469848.0,470458.0,454650.0,485572.0,470700.0,472195.0,471250.0,455073.0,486356.0,472223.0,471150.0,20525151.0,2025/07/24 15:30:13
2U309,東北,東北電力原町火力発電所２号機,２号機,火力（石炭）,2025-07-23,459961.0,430327.0,459477.0,429327.0,460350.0,442354.0,429855.0,459372.0,429277.0,461472.0,443786.0,444951.0,440809.0,354811.0,348510.0,331440.0,330963.0,258618.0,250659.0,268842.0,315890.0,361245.0,419997.0,442245.0,430938.0,439883.0,451855.0,453178.0,483885.0,469450.0,471000.0,468307.0,454321.0,484428.0,452229.0,485333.0,469079.0,454752.0,485542.0,454650.0,484628.0,470700.0,470305.0,471250.0,454127.0,488244.0,471277.0,471150.0,20665049.0,2025/07/24 15:30:13
2F104,東北,東北電力能代火力発電所１号機,１号機,火力（石炭）,2025-07-23,270589.0,269915.0,265395.0,264981.0,264943.0,237295.0,236096.0,234380.0,260299.0,266293.0,264514.0,264813.0,262670.0,244632.0,196180.0,193272.0,191127.0,211747.0,228805.0,232249.0,257338.0,270328.0,270467.0,269421.0,270730.0,270340.0,270767.0,270501.0,270340.0,270496.0,269738.0,271540.0,269702.0,270798.0,270730.0,271028.0,270569.0,270907.0,270444.0,270162.0,270319.0,270657.0,271398.0,270000.0,205427.0,156195.0,139089.0,138851.0,11978477.0,2025/07/24 15:30:13
2F105,東北,東北電力能代火力発電所２号機,２号機,火力（石炭）,2025-07-23,250390.0,249654.0,249564.0,250008.0,250906.0,249784.0,249453.0,249509.0,250700.0,249576.0,240255.0,232136.0,232739.0,231477.0,231509.0,192347.0,190112.0,190522.0,186194.0,188910.0,215221.0,233411.0,239112.0,248268.0,249589.0,248299.0,248692.0,249378.0,248299.0,248443.0,249491.0,248589.0,248527.0,248721.0,249589.0,248931.0,248510.0,249752.0,248395.0,248137.0,248280.0,249522.0,249391.0,247869.0,248722.0,246624.0,246780.0,245438.0,11515725.0,2025/07/24 15:30:13
2F109,東北,東北電力能代火力発電所３号機,３号機,火力（石炭）,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/07/24 15:30:13
2500125017,東北,相馬共同火力発電株式会社新地火力発電所,新地1号機,火力（石炭）,2025-07-23,445000.0,445000.0,436000.0,390000.0,375000.0,374000.0,377000.0,375000.0,374000.0,377000.0,396000.0,440000.0,385000.0,371000.0,369000.0,362000.0,365000.0,371000.0,367000.0,374000.0,370000.0,371000.0,371000.0,376000.0,375000.0,412000.0,438000.0,441000.0,439000.0,456000.0,463000.0,461000.0,465000.0,461000.0,460000.0,462000.0,461000.0,465000.0,460000.0,469000.0,464000.0,461000.0,468000.0,463000.0,463000.0,466000.0,467000.0,463000.0,20159000.0,2025/07/24 15:30:13
